"index","AAPL_Daily_Adj._Open-Adj._Close_P_Delta","AAPL_Daily_Adj._Open-Adj._Close_P_Delta","AAPL_AfterHours_Adj._Close-Adj._Open_P_Delta","AAPL_Adj._Open","AAPL_Adj._High","AAPL_Adj._Low","AAPL_Adj._Close","AAPL_Adj._Volume","AAPL_25-day_Adj._Close_MA","AAPL_100-day_Adj._Close_MA","GOOG_Daily_Adj._Open-Adj._Close_P_Delta","GOOG_AfterHours_Adj._Close-Adj._Open_P_Delta","GOOG_Adj._Open","GOOG_Adj._High","GOOG_Adj._Low","GOOG_Adj._Close","GOOG_Adj._Volume","GOOG_25-day_Adj._Close_MA","GOOG_100-day_Adj._Close_MA","MSFT_Daily_Adj._Open-Adj._Close_P_Delta","MSFT_AfterHours_Adj._Close-Adj._Open_P_Delta","MSFT_Adj._Open","MSFT_Adj._High","MSFT_Adj._Low","MSFT_Adj._Close","MSFT_Adj._Volume","MSFT_25-day_Adj._Close_MA","MSFT_100-day_Adj._Close_MA","INTC_Daily_Adj._Open-Adj._Close_P_Delta","INTC_AfterHours_Adj._Close-Adj._Open_P_Delta","INTC_Adj._Open","INTC_Adj._High","INTC_Adj._Low","INTC_Adj._Close","INTC_Adj._Volume","INTC_25-day_Adj._Close_MA","INTC_100-day_Adj._Close_MA"
185973,0.0095133414,-0.0305224463,0.0105327665,35.042919807,35.2068724228,33.9616132696,33.9733241707,135615900,32.3130020549,28.2756720141,0,0,0,0,0,0,0,0,0,-0.0172191825,0.0044211561,25.9306725155,25.939018403,25.471648702,25.4841675333,63214800,25.3475119711,24.7482591695,-0.0260127932,0.0061295972,18.7547785446,18.762776318,18.2429210492,18.2669143693,81864000,18.4770926543,16.9114362591
190293,-0.0160143026,0.0095133414,-0.0129904261,34.3311572607,34.8568466002,34.206240982,34.657761281,113585500,32.4975138082,28.3763857638,0,0,0,0,0,0,0,0,0,0.0061949788,-0.0110174984,25.5968370148,25.9228273812,25.5217240271,25.7554088776,43989500,25.3875722312,24.7583241399,0.0121845083,-0.0141874463,18.3788831964,18.748380326,18.3149010095,18.6028208507,55449900,18.5097235696,16.9358432863
191733,0.0116784571,-0.0160143026,-0.0218416576,34.2075421932,34.2595906427,33.4085984941,33.6597322627,180954900,32.6343491818,28.465922109,0,0,0,0,0,0,0,0,0,-0.0127785059,-0.0119482244,25.471648702,25.4966863646,24.8290153632,25.1461590889,82085600,25.4055993482,24.7641243266,-0.0161360663,-0.0134315158,18.3388943296,18.3548898763,17.9150123412,18.042976715,90704300,18.5170815211,16.9576668967
193173,-0.0298625064,0.0116784571,-0.008418462,32.9245479142,33.589466856,32.3650270825,33.3090558345,220775800,32.739174759,28.5416330848,0,0,0,0,0,0,0,0,0,0.0026872691,-0.0087102178,24.8457071382,25.1127755388,24.7789400381,24.9124742384,66833800,25.4082700322,24.7664245739,0.003280543,-0.0010147706,17.8006321885,18.0261605601,17.6395404945,17.8590279276,96854100,18.5167616102,16.9774923337
194613,-0.032210414,-0.0298625064,-0.0103147208,33.0286448131,33.6037801796,25.9266338849,32.0423266959,321465200,32.7977292646,28.6064594285,0,0,0,0,0,0,0,0,0,-0.0206150727,-0.0017253278,24.6954811629,24.9375119009,23.2933720601,24.1863820244,128613000,25.3980045906,24.7601346524,-0.0288939052,-0.0116225012,17.840905112,18.0261605601,16.0286235544,17.3254116912,160695900,18.4966966044,16.9908708098
196053,0.0149450549,-0.032210414,0.0610107691,31.7118190419,32.0839654555,29.3045782546,30.6903682213,419004600,32.7971567317,28.6600563194,0,0,0,0,0,0,0,0,0,-0.0248876599,0.028358738,24.1446525868,24.1613443618,22.8009646966,23.5437486856,173718100,25.366290218,24.7475845534,0.0023518344,0.0459877992,17.1240470737,17.4784488005,16.4796802976,17.1643199972,139360500,18.4669888216,17.0046219378
200373,0.0185832274,0.0149450549,-0.0084649002,32.5628111905,33.1353441345,32.3390028578,33.0494641929,246076600,32.8778318284,28.734238372,0,0,0,0,0,0,0,0,0,-0.0024129611,-0.008984105,24.211419687,24.6036764003,23.9610430614,24.1529984743,86653300,25.3552736465,24.7389669263,0.0116644235,-0.0101995565,17.9536692978,18.1711430847,17.8489596967,18.1630885,112607400,18.4708335602,17.0277260087
201813,0.010974175,0.0185832274,0.0106229534,32.769703777,33.8171788223,32.5953414714,33.3786706357,212226700,32.9662100955,28.8153688926,0,0,0,0,0,0,0,0,0,0.0069735007,0.0034626039,23.9360053989,24.745556488,23.8442006362,24.1029231492,63789400,25.3405848845,24.7305962473,-0.0017921147,0.0143626571,17.9778330519,18.4127806258,17.8006321885,17.9456147131,102689700,18.4720576551,17.0500835113
203253,-0.0184636426,0.010974175,0.0043114961,33.7332506976,34.2387712629,33.6623346852,34.1034452943,163594900,33.0780622134,28.9026281181,0,0,0,0,0,0,0,0,0,0.0158730159,-0.0061141304,24.1863820244,24.6871352754,24.1363066993,24.5702928502,47146800,25.343589404,24.7262346419,0.0216814159,-0.0025985275,18.2033614235,18.6383089974,18.1147609918,18.5980360739,83343400,18.4977790497,17.082297623
204693,-0.0052710991,-0.0184636426,-0.0123664654,34.250482164,34.4820977641,33.3630561008,33.6180935032,149928100,33.1738834089,28.9891586653,0,0,0,0,0,0,0,0,0,-0.000683527,-0.0013679891,24.4200668749,24.8123235882,24.3532997747,24.4033750998,45188800,25.3208885899,24.724357755,-0.0230134607,-0.0137777778,18.5497085657,18.6624727515,18.0100513907,18.1228155765,62099000,18.5089703775,17.1122191549
206133,-0.0018845701,-0.0052710991,0.0034670239,33.2023565131,33.3734657907,32.4652203477,33.0273436018,189840700,33.2364976936,29.0651363894,0,0,0,0,0,0,0,0,0,-0.0092465753,0.0065675769,24.3699915498,24.3783374373,23.9026218488,24.1446525868,63334000,25.2738177843,24.7135797211,-0.0135196034,-0.0063956144,17.8731234508,17.8892326202,17.3415208606,17.6314859098,83526200,18.4928306563,17.1327841962
210453,-0.0179780528,-0.0018845701,0.0108567383,33.1418501906,33.3344294536,32.2323035364,33.0793920513,190708700,33.2985914938,29.1379912065,0,0,0,0,0,0,0,0,0,-0.0061813187,0.0021160589,24.3032244496,24.3950292123,23.744049986,24.1529984743,46053300,25.2277484852,24.7015558994,0.0124137931,0.0054495913,17.518721724,17.760359265,17.2448658442,17.7361955109,64550400,18.4812312211,17.1507465671
